,index,user_id,상품명,item_option,user_rank,star,write_date,발색력,지속력,발림성,수분감,올리브영 후기 유무,광고 유무,user_type1,user_type3,user_type4,탑리뷰어,user_type2,user_type5,item_no,user_no,rating
819,819,화장품좋아하는여자,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] [NEW] 13 물복숭아,,5.0,2022-09-09,3.0,2.0,3.0,3.0,,0,,,,0,,,27,1812,11.0
820,820,라푼젤리,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] [NEW] 14 플리징,TOP 502,5.0,2022-09-05,3.0,3.0,3.0,3.0,,0,,,,0,,,27,802,12.0
821,821,검은장미,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),,,5.0,2022-08-19,3.0,2.0,2.0,3.0,,1,,,,1,,,27,554,10.0
822,822,토깽토깽,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 02 산들,,4.0,2022-07-31,2.0,2.0,3.0,3.0,,0,복합성,모공,,0,봄웜톤,,27,1680,10.0
823,823,뿡칫흥칫뿡,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] [NEW] 14 플리징,,5.0,2022-07-02,3.0,3.0,3.0,3.0,,0,,,,0,,,27,1078,12.0
824,824,leciellevent,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] [NEW] 13 물복숭아,TOP 305,4.0,2022-05-19,3.0,2.0,3.0,3.0,,0,복합성,모공,블랙헤드,0,웜톤,,27,325,11.0
825,825,잇프피,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 04 듀 왓 유 러브,TOP 333,5.0,2022-04-25,3.0,2.0,3.0,3.0,,0,,,,0,,,27,1488,11.0
826,826,제발좋아요좀눌러줘요,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 11 복숭아,,5.0,2022-04-09,3.0,2.0,3.0,3.0,,0,건성,미백,민감성,0,웜톤,,27,1511,11.0
827,827,지이이잉,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 11 복숭아,TOP 207,5.0,2022-04-04,2.0,3.0,3.0,3.0,,0,,,,0,,,27,1547,11.0
828,828,닝딩동,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 10 아침 무화과,,5.0,2022-03-14,3.0,3.0,3.0,3.0,,0,복합성,모공,미백,0,웜톤,,27,717,12.0
829,829,hymn,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 03 꽃물,TOP 633,4.0,2022-03-13,3.0,3.0,3.0,3.0,,0,,,,0,,,27,265,12.0
830,830,배고픈빵수니,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 11 복숭아,,5.0,2022-02-13,3.0,2.0,3.0,2.0,,0,트러블성,민감성,트러블,0,쿨톤,,27,987,10.0
831,831,깡옐,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),,TOP 412,5.0,2022-08-19,3.0,2.0,3.0,3.0,,1,,,,0,,,27,628,11.0
832,832,도리처,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 09 서울 소울,,5.0,2021-12-06,3.0,2.0,2.0,2.0,,0,,,,0,,,27,749,9.0
833,833,봄나리,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 01 라 비 앙 코랄,TOP 107,5.0,2021-11-02,2.0,2.0,3.0,3.0,,0,복합성,각질,모공,0,봄웜톤,,27,1022,10.0
834,834,민들,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 02 산들,,5.0,2021-10-28,3.0,1.0,3.0,3.0,,0,,,,0,,,27,958,10.0
835,835,깡옐,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 12 일요일,,5.0,2021-10-21,3.0,1.0,3.0,2.0,,0,건성,각질,모공,0,쿨톤,,27,628,9.0
836,836,루루롱,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 12 일요일,TOP 531,5.0,2021-10-20,2.0,2.0,3.0,3.0,,0,,,,0,,,27,831,10.0
837,837,뷰티조아,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] [NEW] 14 플리징,,4.0,2022-10-16,3.0,2.0,2.0,2.0,,0,복합성,미백,민감성,0,쿨톤,,27,1041,9.0
838,838,깡옐,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] [NEW] 14 플리징,TOP 446,4.0,2022-10-09,2.0,3.0,3.0,3.0,,0,,,,0,,,27,628,11.0
839,839,시작,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 07 화양연화,,5.0,2022-10-09,3.0,1.0,2.0,2.0,,0,건성,다크서클,미백,0,웜톤,,27,1174,8.0
840,840,mevr****,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 03 꽃물,TOP 394,5.0,2022-09-29,3.0,3.0,3.0,3.0,,0,,,,0,,,27,350,12.0
841,841,미카쭈,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 01 라 비 앙 코랄,,5.0,2022-09-25,3.0,3.0,2.0,3.0,,0,복합성,모공,,0,웜톤,,27,949,11.0
842,842,힁오몽,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 12 일요일,TOP 633,4.0,2022-09-22,2.0,2.0,3.0,2.0,,0,,,,0,,,27,1828,9.0
843,843,스트로베리문,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 01 라 비 앙 코랄,,5.0,2022-09-22,3.0,2.0,3.0,3.0,,0,,,,1,,,27,1166,11.0
844,844,루나N,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] [NEW] 14 플리징,TOP 333,4.0,2022-09-16,3.0,2.0,3.0,3.0,,0,,,,0,,,27,829,11.0
845,845,pyopyo****,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 02 산들,,5.0,2022-09-09,3.0,2.0,3.0,2.0,,0,복합성,,,0,쿨톤,,27,395,10.0
846,846,숨참고review다이브,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] [NEW] 13 물복숭아,TOP 296,4.0,2022-08-23,3.0,3.0,3.0,3.0,,0,,,,0,,,27,1154,12.0
847,847,외로운둘리,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 12 일요일,,5.0,2022-08-08,3.0,2.0,3.0,3.0,,0,,,,0,,,27,1388,11.0
848,848,gn4343,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] [NEW] 14 플리징,TOP 130,4.0,2022-07-07,3.0,3.0,3.0,3.0,,0,민감성,민감성,트러블,0,쿨톤,,27,230,12.0
849,849,리뷰쓰는고넁,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 11 복숭아,,5.0,2022-07-02,3.0,2.0,3.0,3.0,,0,,,,0,,,27,845,11.0
850,850,새콤레몬,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),,,5.0,2022-07-01,3.0,2.0,3.0,3.0,,1,,,,0,,,27,1103,11.0
851,851,우루루까꿍,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),,TOP 45,5.0,2022-06-25,2.0,3.0,3.0,3.0,,1,지성,모공,민감성,0,쿨톤,,27,1401,11.0
852,852,앙나뵤,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 02 산들,,4.0,2022-06-09,3.0,3.0,3.0,3.0,,0,,,,0,,,27,1225,12.0
853,853,묘니,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 11 복숭아,,5.0,2022-06-04,2.0,2.0,2.0,3.0,,0,복합성,모공,미백,0,쿨톤,,27,914,9.0
854,854,올영고이다가썩은알바,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 02 산들,TOP 950,5.0,2022-05-18,1.0,3.0,3.0,3.0,,0,,,,0,,,27,1342,10.0
855,855,Alliveholy,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 01 라 비 앙 코랄,,4.0,2022-04-30,3.0,1.0,3.0,3.0,,0,,,,0,,,27,14,10.0
856,856,YSSY,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 02 산들,TOP 86,3.0,2022-04-07,2.0,3.0,3.0,3.0,,0,복합성,모공,블랙헤드,0,웜톤,,27,115,11.0
857,857,해질녘하루,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 01 라 비 앙 코랄,,5.0,2022-02-16,3.0,2.0,2.0,3.0,,0,,,,0,,,27,1768,10.0
858,858,시작,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 01 라 비 앙 코랄,,4.0,2022-02-06,2.0,2.0,3.0,3.0,,0,,,,0,,,27,1174,10.0
859,859,눈화장조아,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 12 일요일,TOP 207,5.0,2022-01-27,3.0,3.0,3.0,3.0,,0,복합성,민감성,,0,웜톤,,27,711,12.0
860,860,눈화장조아,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 01 라 비 앙 코랄,,5.0,2021-12-15,3.0,3.0,3.0,3.0,,0,,,,0,,,27,711,12.0
861,861,깡옐,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] [NEW] 13 물복숭아,,5.0,2021-12-14,3.0,3.0,3.0,2.0,,0,복합성,각질,모공,0,쿨톤,,27,628,11.0
862,862,깡옐,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 01 라 비 앙 코랄,TOP 657,5.0,2021-11-13,3.0,2.0,3.0,3.0,,0,,,,0,,,27,628,11.0
863,863,깡옐,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 01 라 비 앙 코랄,,5.0,2022-10-13,2.0,3.0,3.0,3.0,,0,,,,0,,,27,628,11.0
864,864,사랑해무야,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 01 라 비 앙 코랄,TOP 307,5.0,2022-10-10,3.0,2.0,1.0,3.0,,0,복합성,,,0,쿨톤,,27,1085,9.0
865,865,에에에에취,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 10 아침 무화과,,2.0,2022-10-07,3.0,1.0,2.0,2.0,,0,,,,0,,,27,1254,8.0
866,866,s22db****,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 06 피그 듀,,5.0,2022-10-02,3.0,1.0,2.0,2.0,,0,건성,각질,블랙헤드,0,웜톤,,27,419,8.0
867,867,맑은달,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 11 복숭아,TOP 130,5.0,2022-10-02,3.0,1.0,2.0,2.0,,0,,,,0,,,27,878,8.0
868,868,은비비빅,[슬기 Pick] 어뮤즈 듀 틴트 (핑크 스퀘어 미러 증정),[옵션] 003만찢코랄,,3.0,2022-09-22,3.0,1.0,1.0,2.0,,0,,,,0,,,27,1445,7.0
869,869,루이님,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 023 별피치내린다,TOP 1603,4.0,2022-09-22,3.0,1.0,3.0,1.0,,0,복합성,모공,민감성,0,웜톤,,19,835,8.0
870,870,폴바라떼5800,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 008최애쁨템,,4.0,2022-09-22,2.0,1.0,3.0,2.0,,0,,,,0,,,19,1712,8.0
871,871,피부특공대,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 019 엘프요정,,2.0,2020-12-12,1.0,3.0,3.0,2.0,,0,,,,0,,,19,1728,9.0
872,872,퍼플n핑크,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 023 별피치내린다,TOP 187,4.0,2022-06-03,3.0,1.0,1.0,1.0,,0,복합성,모공,민감성,0,웜톤,,19,1701,6.0
873,873,예민러찜2,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,,3.0,2022-03-17,3.0,1.0,3.0,2.0,,0,,,,0,,,19,1283,9.0
874,874,사랑해무야,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,,5.0,2021-08-04,2.0,3.0,3.0,2.0,,0,,,,0,,,19,1085,10.0
875,875,하이힐소년,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,TOP 187,4.0,2022-09-27,3.0,1.0,1.0,1.0,,0,,,,1,,,19,1752,6.0
876,876,아유제이,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [어워즈기획] 008 최애쁨템,,5.0,2022-08-05,1.0,3.0,3.0,2.0,,0,복합성,각질,모공,0,봄웜톤,,19,1204,9.0
877,877,에에에에취,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 017최애픽템,,5.0,2022-06-21,3.0,3.0,3.0,2.0,,0,,,,0,,,19,1254,11.0
878,878,그냥리치되고싶다,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 008최애쁨템,TOP 438,1.0,2022-05-28,3.0,3.0,3.0,2.0,,0,건성,각질,민감성,0,웜톤,,19,594,11.0
879,879,부엉이s,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,TOP 379,5.0,2021-12-04,3.0,3.0,3.0,2.0,,0,,,,0,,,19,1031,11.0
880,880,해빵,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,,5.0,2021-08-02,3.0,3.0,3.0,1.0,,0,복합성,각질,모공,0,쿨톤,,19,1766,10.0
881,881,짱유미,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 006조기품절,TOP 332,5.0,2022-10-05,3.0,1.0,2.0,2.0,,0,,,,0,,,19,1562,8.0
882,882,힁오몽,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,,4.0,2022-09-22,3.0,2.0,3.0,2.0,,0,,,,0,,,19,1828,10.0
883,883,하이힐소년,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,TOP 648,5.0,2022-08-28,3.0,2.0,2.0,1.0,,0,,,,0,,,19,1752,8.0
884,884,두웅스,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 023 별피치내린다,,3.0,2021-04-18,3.0,3.0,3.0,2.0,,0,,,,0,,,19,763,11.0
885,885,라ㅁi,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 023 별피치내린다,,5.0,2022-10-02,3.0,1.0,3.0,2.0,,0,복합성,,,0,쿨톤,,19,795,9.0
886,886,해피해피밀,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 019 엘프요정,,4.0,2022-09-25,3.0,1.0,1.0,2.0,,0,,,,0,,,19,1771,7.0
887,887,하연주,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,,5.0,2022-09-21,3.0,2.0,3.0,1.0,,0,건성,민감성,주름,0,웜톤,,19,1749,9.0
888,888,쥬압,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 023 별피치내린다,TOP 130,4.0,2022-09-19,3.0,1.0,3.0,3.0,,0,,,,0,,,19,1536,10.0
889,889,달로리아,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 023 별피치내린다,,3.0,2022-09-01,2.0,2.0,1.0,1.0,,0,,,,0,,,19,733,6.0
890,890,요다,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 014핑크짬바,TOP 768,4.0,2022-08-21,3.0,3.0,3.0,1.0,,0,복합성,,,0,쿨톤,,19,1392,10.0
891,891,체단단,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 008최애쁨템,,5.0,2022-08-05,3.0,2.0,3.0,2.0,,0,,,,0,,,19,1597,10.0
892,892,유사코덕,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 014핑크짬바,,4.0,2022-08-04,3.0,3.0,2.0,2.0,,0,,,,0,,,19,1422,10.0
893,893,나는요리왕,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 003만찢코랄,TOP 130,5.0,2022-07-22,3.0,2.0,3.0,3.0,,0,복합성,모공,미백,0,쿨톤,,19,666,11.0
894,894,루이님,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 003만찢코랄,,5.0,2021-09-05,3.0,2.0,3.0,1.0,,0,,,,0,,,19,835,9.0
895,895,Zen,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 020 미모열일,,5.0,2021-06-18,3.0,3.0,3.0,1.0,,0,복합성,,,0,쿨톤,,19,122,10.0
896,896,레온시아,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,TOP 86,5.0,2021-03-08,3.0,2.0,2.0,2.0,,0,,,,0,,,19,817,9.0
897,897,jihye****,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 008최애쁨템,,4.0,2020-05-30,2.0,2.0,3.0,1.0,,0,,,,0,,,19,286,8.0
898,898,두부링,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,TOP 130,4.0,2022-09-01,3.0,2.0,3.0,2.0,,0,,,,0,,,19,760,10.0
899,899,눈누냔냐힛,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,,4.0,2022-08-17,2.0,2.0,2.0,2.0,,0,,,,0,,,19,709,8.0
900,900,여름쿨톤,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 020 미모열일,,5.0,2022-08-08,3.0,1.0,1.0,1.0,,0,,,,0,,,19,1262,6.0
901,901,딸기맛사탕은맛없어,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 017최애픽템,,3.0,2022-06-23,1.0,3.0,2.0,2.0,,0,,,,0,,,19,776,8.0
902,902,Schminken,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 003만찢코랄,,5.0,2022-06-02,3.0,2.0,3.0,3.0,,0,복합성,각질,모공,0,쿨톤,,19,94,11.0
903,903,자듀,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 017최애픽템,,5.0,2022-05-05,2.0,2.0,3.0,2.0,,0,,,,0,,,19,1493,9.0
904,904,공주님1,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 020 미모열일,,5.0,2022-01-14,3.0,3.0,3.0,1.0,,0,,,,0,,,19,572,10.0
905,905,나공주쥬쥬쥬,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 014핑크짬바,TOP 544,5.0,2021-11-21,1.0,2.0,3.0,1.0,,0,복합성,,,0,여름쿨톤,,19,656,7.0
906,906,젤리가좋아요,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,,4.0,2021-08-17,2.0,3.0,3.0,3.0,,0,,,,0,,,19,1515,11.0
907,907,옹받네,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,,4.0,2021-08-04,3.0,2.0,2.0,2.0,,0,복합성,각질,모공,0,쿨톤,,19,1381,9.0
908,908,겨란노른자,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 020 미모열일,TOP 1196,4.0,2021-05-08,3.0,3.0,3.0,2.0,,0,,,,0,,,19,555,11.0
909,909,유사코덕,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,,5.0,2022-10-07,3.0,2.0,3.0,2.0,,0,지성,모공,민감성,0,겨울쿨톤,,19,1422,10.0
910,910,Gracek,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,TOP 544,4.0,2022-09-18,3.0,3.0,3.0,3.0,,0,,,,0,,,19,37,12.0
911,911,루루롱,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,,5.0,2022-09-14,3.0,3.0,3.0,2.0,,0,,,,0,,,19,831,11.0
912,912,메밀차,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,TOP 470,5.0,2022-09-02,3.0,2.0,3.0,2.0,,0,지성,각질,모공,0,여름쿨톤,,19,896,10.0
913,913,알뜰,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 025 피치나는솔로,,4.0,2022-08-26,3.0,2.0,2.0,2.0,,0,,,,0,,,19,1219,9.0
914,914,Schminken,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 014핑크짬바,TOP 1357,4.0,2022-08-23,2.0,3.0,3.0,3.0,,0,,,,0,,,19,94,11.0
915,915,댕댕이솔루션,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 014핑크짬바,,5.0,2022-08-20,2.0,3.0,3.0,2.0,,0,복합성,미백,민감성,0,쿨톤,,19,740,10.0
916,916,건성피부20대,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,TOP 433,3.0,2022-08-17,3.0,3.0,3.0,2.0,,0,,,,0,,,19,553,11.0
917,917,리미프,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,,4.0,2022-07-17,3.0,3.0,3.0,2.0,,0,건성,다크서클,모공,0,웜톤,,19,843,11.0
918,918,외로운둘리,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 019 엘프요정,,5.0,2022-07-05,3.0,2.0,3.0,2.0,,0,,,,0,,,19,1388,10.0
919,919,나옹씨,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 008최애쁨템,TOP 476,5.0,2022-06-23,2.0,3.0,3.0,3.0,,0,,,,0,,,19,671,11.0
920,920,울히,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 015입못다물,,5.0,2022-06-14,3.0,3.0,3.0,2.0,,0,,,,0,,,19,1408,11.0
921,921,오휘옹,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 003만찢코랄,TOP 110,4.0,2022-06-12,3.0,3.0,3.0,1.0,,0,건성,각질,모공,0,쿨톤,,19,1315,10.0
922,922,마짱이,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,,4.0,2022-06-07,3.0,1.0,3.0,2.0,,0,,,,0,,,19,867,9.0
923,923,여쿨페라,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 008최애쁨템,,4.0,2020-11-21,3.0,2.0,2.0,2.0,,0,복합성,모공,민감성,0,봄웜톤,,19,1269,9.0
924,924,JayH,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,,5.0,2020-09-18,3.0,3.0,3.0,1.0,,0,,,,0,,,19,45,10.0
925,925,올리브영참새방앗간,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 025 피치나는솔로,TOP 669,4.0,2022-10-13,3.0,3.0,3.0,2.0,,0,복합성,각질,다크서클,0,웜톤,,19,1333,11.0
926,926,시유리,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 020 미모열일,,1.0,2022-10-01,3.0,3.0,3.0,1.0,,0,,,,0,,,19,1173,10.0
927,927,JayH,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,TOP 899,5.0,2022-09-29,3.0,2.0,3.0,3.0,,0,건성,미백,민감성,0,봄웜톤,,19,45,11.0
928,928,ddumany,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,,5.0,2022-09-22,3.0,2.0,3.0,1.0,,0,,,,0,,,19,184,9.0
929,929,빠나나우유,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 007심장폭격,TOP 886,5.0,2022-09-19,1.0,3.0,1.0,1.0,,0,복합성,모공,민감성,0,웜톤,,19,1057,6.0
930,930,빠나나우유,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 014핑크짬바,,5.0,2022-09-03,3.0,3.0,2.0,2.0,,0,,,,0,,,19,1057,10.0
931,931,핸섬노아,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 019 엘프요정,TOP 449,5.0,2022-09-01,3.0,2.0,3.0,2.0,,0,건성,모공,민감성,0,웜톤,,19,1772,10.0
932,932,올현,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] [NEW] 021 물복피치,,5.0,2022-08-24,2.0,2.0,3.0,2.0,,0,,,,0,,,19,1377,9.0
933,933,배불러도묵는다,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 003만찢코랄,TOP 187,4.0,2022-08-15,3.0,1.0,2.0,1.0,,0,지성,모공,블랙헤드,0,웜톤,,19,989,7.0
934,934,건성임다,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 008최애쁨템,,4.0,2022-08-09,2.0,1.0,1.0,2.0,,0,,,,0,,,19,552,6.0
935,935,두부링,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 007심장폭격,TOP 1357,5.0,2022-08-02,1.0,1.0,2.0,1.0,,0,,,,0,,,19,760,5.0
936,936,뮤뮹,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 008최애쁨템,,3.0,2022-06-10,2.0,2.0,2.0,2.0,,0,복합성,모공,민감성,0,봄웜톤,,19,928,8.0
937,937,살구꽃잎,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 008최애쁨템,TOP 290,2.0,2022-06-10,3.0,3.0,1.0,1.0,,0,,,,0,,,19,1090,8.0
938,938,새순이,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 003만찢코랄,,4.0,2022-05-12,3.0,2.0,3.0,2.0,,0,복합성,블랙헤드,잡티,0,쿨톤,,19,1102,10.0
939,939,JUNG,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 008최애쁨템,,5.0,2022-04-02,3.0,2.0,3.0,2.0,,0,,,,0,,,19,44,10.0
940,940,옐로8,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 003만찢코랄,TOP 807,3.0,2022-03-14,3.0,2.0,3.0,1.0,,0,,,,1,,,19,1292,9.0
941,941,minzzeo,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 019 엘프요정,,4.0,2022-02-06,3.0,3.0,3.0,2.0,,0,복합성,각질,모공,0,봄웜톤,,19,362,11.0
942,942,채르,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 008최애쁨템,TOP 703,5.0,2021-11-22,3.0,2.0,2.0,2.0,,0,,,,0,,,19,1585,9.0
943,943,유진yujin,[New] 페리페라 잉크더에어리벨벳 New color 추가,[옵션] 003만찢코랄,,5.0,2021-10-05,2.0,2.0,3.0,2.0,,0,건성,민감성,잡티,0,여름쿨톤,,19,1424,9.0
